FECHA (YYMMDD);HORA (HHMM);Registros validados;
040119;1500;3,24429;
040119;1600;3,35789;
040119;1700;3,47065;
040119;1800;3,29519;
040119;1900;2,84745;
040119;2000;2,67578;
040119;2100;1,98563;
040119;2200;1,50706;
040119;2300;1,2676;
040120;0000;1,52513;
040120;0100;1,59457;
040120;0200;1,5396;
040120;0300;1,5962;
040120;0400;1,39186;
040120;0500;0,996281;
040120;0600;0,579929;
040120;0700;0,924422;
040120;0800;1,30667;
040120;0900;1,00815;
040120;1000;1,06188;
040120;1100;2,37919;
040120;1200;2,11609;
040120;1300;2,39891;
040120;1400;2,38896;
040120;1500;2,8947;
040120;1600;3,67294;
040120;1700;3,41163;
040120;1800;3,09193;
040120;1900;2,5471;
040120;2000;2,09765;
040120;2100;1,83331;
040120;2200;1,28505;
040120;2300;0,992579;
040121;0000;0,506837;
040121;0100;1,09659;
040121;0200;0,962768;
040121;0300;1,09794;
040121;0400;0,516167;
040121;0500;0,168646;
040121;0600;0,505281;
040121;0700;1,16126;
040121;0800;1,1706;
040121;0900;1,21858;
040121;1000;1,73697;
040121;1100;1,71348;
040121;1200;2,2609;
040121;1300;3,22205;
040121;1400;3,61816;
040121;1500;3,75335;
040121;1600;3,73597;
040121;1700;3,85238;
040121;1800;3,65086;
040121;1900;3,76597;
040121;2000;2,83742;
040121;2100;2,15472;
040121;2200;1,89646;
040121;2300;1,0361;
040122;0000;1,00806;
040122;0100;0,435159;
040122;0200;1,35617;
040122;0300;0,887497;
040122;0400;0,899673;
040122;0500;0,836555;
040122;0600;0,876527;
040122;0700;0,838328;
040122;0800;1,21117;
040122;0900;1,34967;
040122;1000;1,36751;
040122;1100;1,63923;
040122;1200;2,92866;
040122;1300;3,06988;
040122;1400;3,30539;
040122;1500;3,5553;
040122;1600;3,32263;
040122;1700;3,58801;
040122;1800;2,97716;
040122;1900;2,94899;
040122;2000;2,25568;
040122;2100;2,02062;
040122;2200;1,57016;
040122;2300;0,94996;
040123;0000;0,901095;
040123;0100;0,886612;
040123;0200;0,787047;
040123;0300;0,883227;
040123;0400;1,05008;
040123;0500;0,519848;
040123;0600;1,12389;
040123;0700;0,754313;
040123;0800;1,69059;
040123;0900;1,65952;
040123;1000;1,71445;
040123;1100;1,8648;
040123;1200;2,64257;
040123;1300;3,59515;
040123;1400;3,00712;
040123;1500;2,89329;
040123;1600;3,36237;
040123;1700;3,65807;
040123;1800;2,90249;
040123;1900;2,38958;
040123;2000;2,07843;
040123;2100;1,67327;
040123;2200;1,25164;
040123;2300;0,889092;
040124;0000;0,615317;
040124;0100;0,844101;
040124;0200;0,767591;
040124;0300;0,892862;
040124;0400;0,345842;
040124;0500;0,817184;
040124;0600;0,307254;
040124;0700;0,288262;
040124;0800;1,08837;
040124;0900;1,24501;
040124;1000;1,18113;
040124;1100;1,47724;
040124;1200;2,3459;
040124;1300;3,03695;
040124;1400;3,48432;
040124;1500;3,75488;
040124;1600;3,91881;
040124;1700;3,65926;
040124;1800;3,22266;
040124;1900;3,36511;
040124;2000;2,93705;
040124;2100;1,71526;
040124;2200;1,29993;
040124;2300;0,697657;
040125;0000;0,814383;
040125;0100;0,830583;
040125;0200;0,66287;
040125;0300;0,678052;
040125;0400;0,954744;
040125;0500;0,287112;
040125;0600;0,409472;
040125;0700;0,732347;
040125;0800;0,516004;
040125;0900;1,05263;
