FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040128;0500;2;;;
040128;0600;2;;;
040128;0700;3;;;
040128;0800;5;;;
040128;0900;18;;;
040128;1000;44;;;
040128;1100;69;;;
040128;1200;59;;;
040128;1300;57;;;
040128;1400;57;;;
040128;1500;48;;;
040128;1600;44;;;
040128;1700;34;;;
040128;1800;25;;;
040128;1900;15;;;
040128;2000;6;;;
040128;2100;2;;;
040128;2200;3;;;
040128;2300;6;;;
040129;0000;3;;;
040129;0100;3;;;
040129;0200;2;;;
040129;0300;2;;;
040129;0400;2;;;
040129;0500;2;;;
040129;0600;2;;;
040129;0700;3;;;
040129;0800;12;;;
040129;0900;24;;;
040129;1000;45;;;
040129;1100;64;;;
040129;1200;72;;;
040129;1300;47;;;
040129;1400;48;;;
040129;1500;45;;;
040129;1600;34;;;
040129;1700;25;;;
040129;1800;19;;;
040129;1900;10;;;
040129;2000;6;;;
040129;2100;5;;;
040129;2200;5;;;
040129;2300;7;;;
040130;0000;9;;;
040130;0100;6;;;
040130;0200;3;;;
040130;0300;2;;;
040130;0400;2;;;
040130;0500;2;;;
040130;0600;2;;;
040130;0700;3;;;
040130;0800;10;;;
040130;0900;28;;;
040130;1000;33;;;
040130;1100;47;;;
040130;1200;45;;;
040130;1300;43;;;
040130;1400;40;;;
040130;1500;40;;;
040130;1600;37;;;
040130;1700;31;;;
040130;1800;26;;;
040130;1900;17;;;
040130;2000;13;;;
040130;2100;10;;;
040130;2200;11;;;
040130;2300;12;;;
040131;0000;7;;;
040131;0100;3;;;
040131;0200;2;;;
040131;0300;2;;;
040131;0400;2;;;
040131;0500;2;;;
040131;0600;2;;;
040131;0700;3;;;
040131;0800;7;;;
040131;0900;19;;;
040131;1000;32;;;
040131;1100;52;;;
040131;1200;53;;;
040131;1300;56;;;
040131;1400;53;;;
040131;1500;50;;;
040131;1600;48;;;
040131;1700;43;;;
040131;1800;38;;;
040131;1900;27;;;
040131;2000;18;;;
040131;2100;14;;;
040131;2200;13;;;
040131;2300;11;;;
040201;0000;9;;;
040201;0100;4;;;
040201;0200;2;;;
040201;0300;2;;;
040201;0400;2;;;
040201;0500;2;;;
040201;0600;2;;;
040201;0700;5;;;
040201;0800;15;;;
040201;0900;28;;;
040201;1000;53;;;
040201;1100;58;;;
040201;1200;55;;;
040201;1300;52;;;
040201;1400;51;;;
040201;1500;49;;;
040201;1600;51;;;
040201;1700;51;;;
040201;1800;40;;;
040201;1900;29;;;
040201;2000;21;;;
040201;2100;16;;;
040201;2200;16;;;
040201;2300;18;;;
040202;0000;7;;;
040202;0100;2;;;
040202;0200;3;;;
040202;0300;7;;;
040202;0400;4;;;
040202;0500;5;;;
040202;0600;2;;;
040202;0700;3;;;
040202;0800;6;;;
040202;0900;15;;;
040202;1000;41;;;
040202;1100;55;;;
040202;1200;55;;;
040202;1300;55;;;
040202;1400;52;;;
040202;1500;45;;;
040202;1600;43;;;
040202;1700;46;;;
040202;1800;57;;;
040202;1900;39;;;
040202;2000;26;;;
040202;2100;21;;;
040202;2200;21;;;
040202;2300;18;;;
040203;0000;16;;;
040203;0100;10;;;
040203;0200;6;;;
040203;0300;2;;;
040203;0400;2;;;
040203;0500;2;;;
040203;0600;2;;;
040203;0700;3;;;
040203;0800;6;;;
040203;0900;17;;;
040203;1000;47;;;
040203;1100;74;;;
040203;1200;68;;;
040203;1300;59;;;
040203;1400;55;;;
040203;1500;52;;;
040203;1600;41;;;
040203;1700;34;;;
040203;1800;28;;;
040203;1900;20;;;
040203;2000;16;;;
040203;2100;15;;;
040203;2200;10;;;
040203;2300;10;;;
040204;0000;3;;;
040204;0100;2;;;
040204;0200;2;;;
040204;0300;2;;;
040204;0400;2;;;
040204;0500;2;;;
040204;0600;2;;;
040204;0700;3;;;
040204;0800;4;;;
040204;0900;12;;;
040204;1000;44;;;
040204;1100;76;;;
040204;1200;79;;;
040204;1300;63;;;
040204;1400;66;;;
040204;1500;65;;;
040204;1600;62;;;
040204;1700;53;;;
040204;1800;41;;;
040204;1900;;;;
040204;2000;;;;
040204;2100;;;;
040204;2200;;;;
040204;2300;;;;
040205;0000;;;;
040205;0100;;;;
040205;0200;;;;
040205;0300;;;;
040205;0400;;;;
040205;0500;;;;
040205;0600;;;;
040205;0700;;;;
040205;0800;;;;
040205;0900;;;;
040205;1000;46;;;
040205;1100;93;;;
040205;1200;81;;;
040205;1300;78;;;
040205;1400;71;;;
040205;1500;68;;;
040205;1600;65;;;
040205;1700;61;;;
040205;1800;54;;;
040205;1900;42;;;
040205;2000;33;;;
040205;2100;34;;;
040205;2200;24;;;
040205;2300;9;;;
040206;0000;23;;;
040206;0100;14;;;
040206;0200;7;;;
040206;0300;2;;;
040206;0400;2;;;
040206;0500;2;;;
040206;0600;3;;;
040206;0700;7;;;
040206;0800;13;;;
040206;0900;23;;;
040206;1000;31;;;
040206;1100;37;;;
040206;1200;41;;;
040206;1300;48;;;
040206;1400;48;;;
040206;1500;49;;;
040206;1600;47;;;
040206;1700;43;;;
040206;1800;41;;;
040206;1900;30;;;
040206;2000;21;;;
040206;2100;19;;;
040206;2200;20;;;
040206;2300;19;;;
040207;0000;16;;;
040207;0100;11;;;
040207;0200;11;;;
040207;0300;16;;;
040207;0400;16;;;
040207;0500;5;;;
040207;0600;4;;;
040207;0700;6;;;
040207;0800;10;;;
040207;0900;20;;;
040207;1000;32;;;
040207;1100;36;;;
040207;1200;48;;;
040207;1300;46;;;
040207;1400;41;;;
040207;1500;42;;;
040207;1600;41;;;
040207;1700;40;;;
040207;1800;36;;;
040207;1900;31;;;
040207;2000;20;;;
040207;2100;19;;;
040207;2200;18;;;
040207;2300;19;;;
040208;0000;19;;;
040208;0100;21;;;
040208;0200;20;;;
040208;0300;19;;;
040208;0400;19;;;
040208;0500;11;;;
040208;0600;6;;;
040208;0700;9;;;
040208;0800;21;;;
040208;0900;26;;;
040208;1000;36;;;
040208;1100;42;;;
040208;1200;46;;;
040208;1300;45;;;
040208;1400;39;;;
040208;1500;38;;;
040208;1600;35;;;
040208;1700;32;;;
040208;1800;28;;;
040208;1900;22;;;
040208;2000;14;;;
040208;2100;11;;;
040208;2200;11;;;
040208;2300;10;;;
040209;0000;3;;;
040209;0100;2;;;
040209;0200;3;;;
040209;0300;3;;;
