FECHA (YYMMDD);HORA (HHMM);Registros validados;
040118;2300;47,25;
040119;0000;48,3333;
040119;0100;52,1666;
040119;0200;56,5833;
040119;0300;63;
040119;0400;71,8333;
040119;0500;75,9164;
040119;0600;72,4164;
040119;0700;58,25;
040119;0800;50;
040119;0900;44,3333;
040119;1000;39,4166;
040119;1100;38,1666;
040119;1200;36,5;
040119;1300;34,1666;
040119;1400;33,25;
040119;1500;30;
040119;1600;27,8333;
040119;1700;31;
040119;1800;39,75;
040119;1900;49,25;
040119;2000;58,9166;
040119;2100;64,5833;
040119;2200;65,3333;
040119;2300;65,75;
040120;0000;68,75;
040120;0100;77,5833;
040120;0200;85,6664;
040120;0300;89,9164;
040120;0400;93,8333;
040120;0500;95,8333;
040120;0600;92;
040120;0700;77,4164;
040120;0800;70,75;
040120;0900;61,75;
040120;1000;50,8333;
040120;1100;47,5;
040120;1200;44,75;
040120;1300;41,3333;
040120;1400;37,75;
040120;1500;36,5;
040120;1600;39;
040120;1700;40,25;
040120;1800;43,0833;
040120;1900;50,5833;
040120;2000;56,5833;
040120;2100;57,6666;
040120;2200;59,9166;
040120;2300;60,5833;
040121;0000;62,9166;
040121;0100;63,9166;
040121;0200;69,4164;
040121;0300;76,5;
040121;0400;81,0833;
040121;0500;81,3333;
040121;0600;76,9164;
040121;0700;67,6664;
040121;0800;59,9166;
040121;0900;51,6666;
040121;1000;46,5833;
040121;1100;42,5833;
040121;1200;42,0833;
040121;1300;40,0833;
040121;1400;37,6666;
040121;1500;38,75;
040121;1600;40,4166;
040121;1700;45;
040121;1800;50,0833;
040121;1900;55,5;
040121;2000;62,9166;
040121;2100;64;
040121;2200;63,8333;
040121;2300;64,6664;
040122;0000;70,9164;
040122;0100;71,5;
040122;0200;75,5833;
040122;0300;78,75;
040122;0400;80,75;
040122;0500;81,75;
040122;0600;77,4164;
040122;0700;69,5833;
040122;0800;59,1666;
040122;0900;52,4166;
040122;1000;44,8333;
040122;1100;40,4166;
040122;1200;41,3333;
040122;1300;40;
040122;1400;37,9166;
040122;1500;36,75;
040122;1600;37,4166;
040122;1700;41;
040122;1800;45,1666;
040122;1900;51,25;
040122;2000;58,6666;
040122;2100;61,75;
040122;2200;62,5;
040122;2300;64,25;
040123;0000;65,75;
040123;0100;67,0833;
040123;0200;70,25;
040123;0300;74,6664;
040123;0400;77,3333;
040123;0500;78,5;
040123;0600;76,8333;
040123;0700;64,75;
040123;0800;57,25;
040123;0900;52,25;
040123;1000;51,5;
040123;1100;46,8333;
040123;1200;46;
040123;1300;46,25;
040123;1400;43;
040123;1500;39,6666;
040123;1600;40,4166;
040123;1700;43,9166;
040123;1800;48,6666;
040123;1900;52,8333;
040123;2000;55,5833;
040123;2100;59,1666;
040123;2200;61,5833;
040123;2300;64,25;
040124;0000;66,5833;
040124;0100;68,1664;
040124;0200;70,6664;
040124;0300;75,0833;
040124;0400;78,75;
040124;0500;79,75;
040124;0600;78;
040124;0700;61,5;
040124;0800;57,1666;
040124;0900;52,0833;
040124;1000;46,25;
040124;1100;40,25;
040124;1200;38,6666;
040124;1300;36,8333;
040124;1400;33,25;
040124;1500;33,8333;
040124;1600;33,6667;
040124;1700;35,9166;
040124;1800;40,25;
040124;1900;46,25;
040124;2000;50,5833;
040124;2100;53,5833;
040124;2200;48,5;
040124;2300;48,3333;
040125;0000;51,9166;
040125;0100;59,8333;
040125;0200;68,75;
040125;0300;72,6664;
040125;0400;77,5833;
040125;0500;80,1664;
040125;0600;77;
040125;0700;59,9166;
040125;0800;49,1666;
040125;0900;44,5833;
040125;1000;40,25;
040125;1100;37,9166;
040125;1200;37,9166;
040125;1300;35,75;
040125;1400;33,4166;
040125;1500;34;
040125;1600;36,3333;
040125;1700;39,8333;
040125;1800;45,6666;
040125;1900;53;
040125;2000;57,5833;
040125;2100;64,25;
040125;2200;69;
040125;2300;71,6664;
040126;0000;73,4164;
040126;0100;77,3333;
040126;0200;80,8333;
040126;0300;84,1664;
040126;0400;86,5;
040126;0500;86,8333;
040126;0600;87;
040126;0700;74,9164;
040126;0800;65,5833;
040126;0900;58,3333;
040126;1000;52;
040126;1100;47,75;
040126;1200;44,0833;
040126;1300;40,25;
040126;1400;34,8333;
040126;1500;33,9166;
040126;1600;37,25;
040126;1700;39,4166;
040126;1800;45,4166;
040126;1900;53,3333;
040126;2000;58,5833;
040126;2100;60,6666;
040126;2200;61;
040126;2300;60,9167;
040127;0000;62,5833;
040127;0100;61,5;
040127;0200;64,8333;
040127;0300;72,0833;
040127;0400;76,8333;
040127;0500;78,5;
040127;0600;78,0833;
040127;0700;64,4164;
040127;0800;54,4166;
040127;0900;50,1666;
040127;1000;43,4166;
040127;1100;40,8333;
040127;1200;39,3333;
040127;1300;38,75;
040127;1400;36,3333;
040127;1500;33,25;
040127;1600;32,0833;
040127;1700;32,5;
040127;1800;32,8333;
040127;1900;35,3333;
040127;2000;39,25;
040127;2100;43,75;
040127;2200;47,25;
040127;2300;50,0833;
040128;0000;53,25;
040128;0100;57,25;
040128;0200;64,5833;
040128;0300;70,5;
040128;0400;73,6664;
040128;0500;76,0833;
040128;0600;74,75;
040128;0700;57,9166;
040128;0800;53,4166;
040128;0900;47,75;
040128;1000;39,75;
040128;1100;36;
040128;1200;35,3333;
040128;1300;32,8333;
040128;1400;30,75;
040128;1500;31,6667;
040128;1600;34,0833;
040128;1700;34,5833;
040128;1800;35,75;
040128;1900;37,25;
040128;2000;39,1666;
040128;2100;44;
040128;2200;48,9166;
040128;2300;54,1666;
040129;0000;58,75;
040129;0100;63,3333;
040129;0200;68,25;
040129;0300;71,8333;
040129;0400;76,0833;
040129;0500;78,6664;
040129;0600;76,25;
040129;0700;61,0833;
040129;0800;58;
040129;0900;49;
040129;1000;41,4166;
040129;1100;36,5;
040129;1200;35,9166;
040129;1300;29,6667;
040129;1400;29,25;
040129;1500;28,8333;
040129;1600;30,5833;
040129;1700;34,5;
040129;1800;40,5833;
040129;1900;42,75;
040129;2000;47,5;
040129;2100;51,0833;
040129;2200;54,5833;
040129;2300;56,8333;
040130;0000;58;
040130;0100;61,9166;
040130;0200;64,6664;
040130;0300;68,0833;
040130;0400;72,25;
040130;0500;75,5833;
040130;0600;75,5;
040130;0700;66,0833;
040130;0800;58,8333;
040130;0900;52,3333;
040130;1000;45,1666;
040130;1100;43,1666;
040130;1200;42,6666;
040130;1300;41,1666;
040130;1400;38,8333;
040130;1500;38,4166;
040130;1600;39,4166;
040130;1700;40,9166;
040130;1800;46,5833;
040130;1900;52,3333;
040130;2000;55,4166;
040130;2100;55,4166;
040130;2200;58,75;
040130;2300;60,8333;
040131;0000;61,8333;
040131;0100;64,1664;
040131;0200;72,0833;
040131;0300;77,5833;
040131;0400;80,1664;
040131;0500;80,5;
040131;0600;78,8333;
040131;0700;65,5;
040131;0800;58,1666;
040131;0900;51,5833;
040131;1000;47,5833;
040131;1100;43,6666;
040131;1200;41,25;
040131;1300;40,1666;
040131;1400;38,5;
040131;1500;36,6666;
040131;1600;35,75;
040131;1700;35,6666;
040131;1800;36,6666;
040131;1900;39,8333;
040131;2000;41,0833;
040131;2100;40,9167;
040131;2200;43,6666;
040131;2300;46,1666;
040201;0000;49,5;
040201;0100;52,1666;
040201;0200;55,1666;
040201;0300;62,0833;
040201;0400;69;
040201;0500;72,0833;
040201;0600;70,4164;
040201;0700;51,5833;
040201;0800;43,75;
040201;0900;39,5833;
040201;1000;35,1666;
040201;1100;34,25;
040201;1200;32,6666;
040201;1300;31,5;
040201;1400;31;
040201;1500;31,9167;
040201;1600;32,3333;
040201;1700;35,4166;
040201;1800;40;
040201;1900;40,5;
040201;2000;49,4166;
040201;2100;51,75;
040201;2200;49,5;
040201;2300;50,4166;
040202;0000;58,4166;
040202;0100;64,0833;
040202;0200;76,0833;
040202;0300;80,5833;
040202;0400;82,5833;
040202;0500;84,6664;
040202;0600;87,0833;
040202;0700;75,9164;
040202;0800;69,4164;
040202;0900;61,9166;
040202;1000;46,5;
040202;1100;35,6666;
040202;1200;32,4166;
040202;1300;34,0833;
040202;1400;35,3333;
040202;1500;34,8333;
040202;1600;35,8333;
040202;1700;38,5833;
040202;1800;43,25;
040202;1900;48,1666;
040202;2000;53,75;
040202;2100;58,9166;
040202;2200;61,1666;
040202;2300;63,3333;
040203;0000;65,5833;
040203;0100;68,25;
040203;0200;72,25;
040203;0300;75,0833;
040203;0400;76,4164;
040203;0500;80,25;
040203;0600;78,9164;
040203;0700;66,25;
040203;0800;55,25;
040203;0900;48,9166;
040203;1000;43,6666;
040203;1100;40,4166;
040203;1200;35,1666;
040203;1300;33,0833;
040203;1400;32,1666;
040203;1500;30,1667;
040203;1600;23,5;
040203;1700;24,25;
040203;1800;27,5;
040203;1900;31,9167;
040203;2000;33,75;
040203;2100;32,0833;
040203;2200;30,9167;
040203;2300;27,6667;
040204;0000;35,8333;
040204;0100;39,5833;
040204;0200;45,9166;
040204;0300;54,3333;
040204;0400;59,9166;
040204;0500;66,6664;
040204;0600;62,8333;
040204;0700;44,75;
040204;0800;36,0833;
040204;0900;30,6667;
040204;1000;26,4167;
040204;1100;25;
040204;1200;26,1667;
040204;1300;24,5;
040204;1400;24;
040204;1500;21,6667;
040204;1600;19,75;
040204;1700;20,4167;
040204;1800;;
040204;1900;;
040204;2000;;
040204;2100;;
040204;2200;;
040204;2300;;
040205;0000;;
040205;0100;;
040205;0200;;
040205;0300;;
040205;0400;;
040205;0500;;
040205;0600;;
040205;0700;;
040205;0800;;
040205;0900;;
040205;1000;22,75;
040205;1100;20,5833;
040205;1200;20,1667;
040205;1300;22,9167;
040205;1400;22,9167;
040205;1500;23,0833;
040205;1600;25,4167;
040205;1700;28,25;
040205;1800;31,6667;
040205;1900;40,0833;
040205;2000;48,75;
040205;2100;48,9166;
040205;2200;50,3333;
040205;2300;53,25;
040206;0000;59,0833;
040206;0100;64;
040206;0200;67,5;
040206;0300;72,3333;
040206;0400;76,6664;
040206;0500;78,8333;
040206;0600;77,25;
040206;0700;67;
040206;0800;62;
040206;0900;65,5833;
040206;1000;61,3333;
040206;1100;57,6666;
