FECHA (YYMMDD);HORA (HHMM);Registros validados;
040127;1800;25,7833;
040127;1900;22,5833;
040127;2000;20,7333;
040127;2100;19,75;
040127;2200;19,2083;
040127;2300;18,7166;
040128;0000;18,0916;
040128;0100;17,2416;
040128;0200;16,125;
040128;0300;15,225;
040128;0400;14,65;
040128;0500;14,1667;
040128;0600;14,8;
040128;0700;18,9166;
040128;0800;20,3333;
040128;0900;22,2583;
040128;1000;24,6917;
040128;1100;26,7;
040128;1200;27,5833;
040128;1300;28,6333;
040128;1400;29,3916;
040128;1500;29,15;
040128;1600;28,5333;
040128;1700;26,7416;
040128;1800;25,3333;
040128;1900;23,5833;
040128;2000;22,3;
040128;2100;21,0833;
040128;2200;20,3583;
040128;2300;19,6333;
040129;0000;18,8;
040129;0100;18,025;
040129;0200;17,0833;
040129;0300;16,4;
040129;0400;15,4833;
040129;0500;15,0333;
040129;0600;15,8;
040129;0700;19;
040129;0800;20,25;
040129;0900;22,9417;
040129;1000;25,25;
040129;1100;26,9916;
040129;1200;27,8167;
040129;1300;28,825;
040129;1400;29,6666;
040129;1500;29,65;
040129;1600;29,0166;
040129;1700;27,6333;
040129;1800;25,4417;
040129;1900;23,0333;
040129;2000;21,1333;
040129;2100;20,1083;
040129;2200;19,25;
040129;2300;18,6166;
040130;0000;18,25;
040130;0100;17,275;
040130;0200;16,7083;
040130;0300;16;
040130;0400;15,2333;
040130;0500;14,7083;
040130;0600;14,6833;
040130;0700;16,7916;
040130;0800;18,7833;
040130;0900;20,525;
040130;1000;23,2;
040130;1100;24,575;
040130;1200;25,0417;
040130;1300;26,0583;
040130;1400;26,8666;
040130;1500;27,125;
040130;1600;26,65;
040130;1700;25,2583;
040130;1800;22,6917;
040130;1900;20,1166;
040130;2000;18,425;
040130;2100;17,7166;
040130;2200;16,825;
040130;2300;16,3333;
040131;0000;16,0416;
040131;0100;15,5667;
040131;0200;14,3333;
040131;0300;13,3417;
040131;0400;12,7583;
040131;0500;12,6833;
040131;0600;13,0916;
040131;0700;16,3333;
040131;0800;18,4583;
040131;0900;20,4666;
040131;1000;22,025;
040131;1100;24,1917;
040131;1200;25,4333;
040131;1300;26,1333;
040131;1400;26,9083;
040131;1500;27,1917;
040131;1600;27,225;
040131;1700;26,175;
040131;1800;24,8083;
040131;1900;22,7666;
040131;2000;20,5667;
040131;2100;19,3583;
040131;2200;18,45;
040131;2300;17,775;
040201;0000;17;
040201;0100;16,4333;
040201;0200;15,7083;
040201;0300;14,6583;
040201;0400;13,6833;
040201;0500;13,2833;
040201;0600;13,9583;
040201;0700;18,6833;
040201;0800;20,1083;
040201;0900;22,1917;
040201;1000;24,3833;
040201;1100;25,1833;
040201;1200;26,375;
040201;1300;27,0166;
040201;1400;27,4833;
040201;1500;27,1416;
040201;1600;26,225;
040201;1700;24,8167;
040201;1800;22,625;
040201;1900;20,2583;
040201;2000;17,875;
040201;2100;16,8583;
040201;2200;16,725;
040201;2300;16,2917;
040202;0000;15,2167;
040202;0100;14,5166;
040202;0200;12,5833;
040202;0300;11,5583;
040202;0400;11,0333;
040202;0500;10,2583;
040202;0600;9,94165;
040202;0700;12,5833;
040202;0800;14,5083;
040202;0900;16,4916;
040202;1000;20,025;
040202;1100;22,4417;
040202;1200;24,5916;
040202;1300;25,6083;
040202;1400;25,7583;
040202;1500;25,5083;
040202;1600;24,4666;
040202;1700;23,625;
040202;1800;21,8583;
040202;1900;19,7333;
040202;2000;17,8416;
040202;2100;16,4833;
040202;2200;15,8083;
040202;2300;15,1416;
040203;0000;14,575;
040203;0100;14,1;
040203;0200;13,2083;
040203;0300;12,6667;
040203;0400;12,225;
040203;0500;11,5;
040203;0600;11,7666;
040203;0700;15,5583;
040203;0800;18,4833;
040203;0900;20,6333;
040203;1000;22,3666;
040203;1100;23,5916;
040203;1200;24,9083;
040203;1300;25,3;
040203;1400;25,5083;
040203;1500;25,6833;
040203;1600;25,2833;
040203;1700;24,3416;
040203;1800;22,7833;
040203;1900;20,2416;
040203;2000;18,15;
040203;2100;17,3833;
040203;2200;16,2416;
040203;2300;15,3833;
040204;0000;14,1583;
040204;0100;13,5916;
040204;0200;12,575;
040204;0300;11,8417;
040204;0400;11,1583;
040204;0500;10,7666;
040204;0600;11,375;
040204;0700;16,1917;
040204;0800;17,7666;
040204;0900;19,8833;
040204;1000;22,7666;
040204;1100;24,925;
040204;1200;25,6364;
040204;1300;26,2583;
040204;1400;26,95;
040204;1500;27,8083;
040204;1600;28,0416;
040204;1700;27,325;
040204;1800;;
040204;1900;;
040204;2000;;
040204;2100;;
040204;2200;;
040204;2300;;
040205;0000;;
040205;0100;;
040205;0200;;
040205;0300;;
040205;0400;;
040205;0500;;
040205;0600;;
040205;0700;;
040205;0800;;
040205;0900;;
040205;1000;26,4583;
040205;1100;28,2;
040205;1200;29,1583;
040205;1300;29,725;
040205;1400;30,4833;
040205;1500;30,4916;
040205;1600;29,8083;
040205;1700;28,725;
040205;1800;26,6666;
040205;1900;24,15;
040205;2000;21,7833;
040205;2100;20,7583;
040205;2200;19,9666;
040205;2300;18,9083;
040206;0000;17,8833;
040206;0100;16,6833;
040206;0200;16,05;
040206;0300;15,2333;
040206;0400;14,6083;
040206;0500;14,2917;
040206;0600;14,2583;
040206;0700;16,65;
040206;0800;18,2416;
040206;0900;18,0333;
040206;1000;19,4083;
040206;1100;20,9833;
040206;1200;24,0916;
040206;1300;26,0916;
040206;1400;26,8916;
040206;1500;27,2333;
040206;1600;27,1083;
040206;1700;26,5833;
040206;1800;25,5333;
040206;1900;23,5166;
040206;2000;21,75;
040206;2100;19,8333;
040206;2200;18,35;
040206;2300;17,3833;
040207;0000;17,175;
040207;0100;16,775;
040207;0200;15,55;
040207;0300;14,2917;
040207;0400;14;
040207;0500;13,7167;
040207;0600;13,8333;
040207;0700;15,4167;
040207;0800;17,5166;
040207;0900;18,1333;
040207;1000;19,425;
040207;1100;21,175;
040207;1200;23,175;
040207;1300;24,075;
040207;1400;25,075;
040207;1500;25,4166;
040207;1600;26,0916;
040207;1700;25,225;
040207;1800;23,5333;
040207;1900;22,175;
040207;2000;20,4166;
040207;2100;18,3083;
040207;2200;17,0916;
040207;2300;15,9583;
040208;0000;15,4833;
040208;0100;14,65;
040208;0200;14,1083;
040208;0300;13,8583;
040208;0400;13,6583;
040208;0500;13,6;
040208;0600;13,6416;
040208;0700;14,7333;
040208;0800;16,6083;
040208;0900;18,8416;
040208;1000;21,675;
040208;1100;23,6666;
040208;1200;25,3167;
040208;1300;26,6416;
040208;1400;27,4417;
040208;1500;28,2083;
040208;1600;28,6583;
040208;1700;28,6666;
040208;1800;27,475;
040208;1900;24,675;
040208;2000;21,625;
040208;2100;20,0166;
040208;2200;19,0916;
040208;2300;18,2833;
040209;0000;17,8583;
040209;0100;16,9916;
040209;0200;16,2;
040209;0300;15,5417;
040209;0400;15,2583;
040209;0500;14,8417;
040209;0600;15,4;
040209;0700;19,95;
040209;0800;21,9833;
040209;0900;23,7;
040209;1000;26,4166;
040209;1100;28,6666;
040209;1200;30,325;
040209;1300;31,2166;
040209;1400;31,9333;
040209;1500;32,1083;
040209;1600;32,2083;
040209;1700;31,3167;
040209;1800;30,25;
040209;1900;27,7833;
040209;2000;25,4333;
040209;2100;23,8416;
040209;2200;22,85;
040209;2300;22,0667;
040210;0000;21,775;
040210;0100;20,7333;
040210;0200;19,7229;
040210;0300;19,7666;
040210;0400;18,6666;
040210;0500;18,0166;
040210;0600;17,9583;
040210;0700;21,725;
040210;0800;24,7583;
040210;0900;25,95;
040210;1000;26,825;
040210;1100;27,7833;
040210;1200;28,6333;
040210;1300;29,1833;
040210;1400;29,0333;
040210;1500;28,9417;
040210;1600;28,0583;
040210;1700;27,0833;
040210;1800;25,4083;
040210;1900;23,45;
040210;2000;21,9166;
040210;2100;20,6667;
040210;2200;19,125;
040210;2300;18,4166;
